,P1[1],P1[2],P1[3],P1[4],P1[5],P2[1],P2[2],P2[3],P2[4],P2[5],P3[1],P3[2],P3[3],P3[4],P3[5],P4[1],P4[2],P4[3],P4[4],P4[5],deviance
mean ,0.0704,0.3625,0.0808,0.3083,0.1779,0.016,0.8733,0.023,0.018,0.0698,0.0241,0.8448,0.0358,0.0253,0.07,0.097,0.0315,0.0268,0.6442,0.2005,227.9985
5%  Quantile,0,0.0001,0,0,0,0,0.0752,0,0,0,0,0.1198,0,0,0,0,0,0,0.0001,0,216.99
95% Quantile ,0.3655,0.8245,0.4004,0.8293,0.748,0.0776,0.998,0.1071,0.0897,0.8148,0.1225,0.996,0.1635,0.1318,0.5778,0.5886,0.1546,0.1426,0.9916,0.9519,241.11
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Predicted settlement ,,,,,,,,,,,,,,
,,,WFS S,,,WFS M,,,WFS D,,,Keys S,,,Keys D,,,,,,
,,mean,5%,95%,mean,5%,95%,mean,5%,95%,mean,5%,95%,mean,5%,95%,,,,,
,WFS S,0.0704,0,0.3655,0.3625,0.0001,0.8245,0.0808,0,0.4004,0.3083,0,0.8293,0.1779,0,0.748,,,,,
capture ,WFS M,0.016,0,0.0776,0.8733,0.0752,0.998,0.023,0,0.1071,0.018,0,0.0897,0.0698,0,0.8148,,,,,
,WFS D,0.0241,0,0.1225,0.8448,0.1198,0.996,0.0358,0,0.1635,0.0253,0,0.1318,0.07,0,0.5778,,,,,
,Key S,0.097,0,0.5886,0.0315,0,0.1546,0.0268,0,0.1426,0.6442,0.0001,0.9916,0.2005,0,0.9519,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,7.04,0,36.55,36.25,0.01,82.45,8.08,0,40.04,30.83,0,82.93,17.79,0,74.8,,,,,
,,1.6,0,7.76,87.33,7.52,99.8,2.3,0,10.71,1.8,0,8.97,6.98,0,81.48,,,,,
,,2.41,0,12.25,84.48,11.98,99.6,3.58,0,16.35,2.53,0,13.18,7,0,57.78,,,,,
,,9.7,0,58.86,3.15,0,15.46,2.68,0,14.26,64.42,0.01,99.16,20.05,0,95.19,,,,,
