,,,A,,,B,Predicted settlement ,,C,,,D,,,E,,,
,,,0-45m,,,45-90m,,,90+m,,,0-10 K,,,10+,,,
,,mean,5%,95%,mean,5%,95%,mean,5%,95%,mean,5%,95%,mean,5%,95%,,
,0-45m,7.04,0,36.55,36.249,0.00664,82.4505,8.08,0.00003,40.04,30.83,0.00188,82.93,17.79,0.00003,74.8,,
capture ,45-90m,1.6,0.00001,7.76,87.326,7.51565,99.8005,2.3,0.00001,10.71,1.8,0,8.97,6.98,0.00001,81.48,,
,90+m,2.41,0,12.25,84.477,11.9815,99.6005,3.58,0,16.35,2.53,0.00001,13.18,7,0,57.78,,
,0-10m K,9.7,0.00001,58.86,3.152,0.00001,15.4645,2.68,0.00001,14.26,64.42,0.01395,99.16,20.05,0.00001,95.19,total ,
,,20.75,,,211.204,,,16.64,,,99.58,,,51.83,,,400,
,,,,,0.53783625,,,,,,0.396752973,,,,,45-90 WFS,0.528010551,
,,,,51.37,,,,,,,,,,,,0-10Keys,0.248944818,
,,,,48.63,,,,,,,,,,,,no move,162.36,0.405911518
,,51.369,,,,,,,,,,,,,,,,
,,48.62,,,,,,40.59,,,,,,,,,,
,,15.532,,,source,target,value,,,source,target,,,,,,,
,,84.47,,,A,A,7.04,,,A,A,7.04,,,,,,
,,,,,B,A,1.6,,,A,B,1.6,,,,,,
,,,,,C,A,2.41,,,A,C,2.41,,,,,,
,,,,,D,A,9.7,,,A,D,9.7,,,,,,
,,,,,E,A,17.79,,,B,A,36.249,,,,,,
,,,,,A,B,1.6,,,B,B,87.326,,,,,,
,,,,,B,B,87.326,,,B,C,84.477,,,,,,
,,,,,C,B,2.3,,,B,D,3.152,,,,,,
,,,,,D,B,1.8,,,C,A,8.08,,,,,,
,,,,,E,B,6.98,,,C,B,2.3,,,,,,
,,,,,A,C,2.41,,,C,C,3.58,,,,,,
,,,,,B,C,84.477,,,C,D,2.68,,,,,,
,,,,,C,C,3.58,,,D,A,30.83,,,,,,
,,,,,D,C,2.53,,,D,B,1.8,,,,,,
,,,,,E,C,7,,,D,C,2.53,,,,,,
,,,,,A,D,9.7,,,D,D,64.42,,,,,,
,,,,,B,D,3.152,,,E,A,17.79,,,,,,
,,,,,C,D,2.68,,,E,B,6.98,,,,,,
,,,,,D,D,64.42,,,E,C,7,,,,,,
,,,,,E,D,20.05,,,E,D,20.05,,,,,,
